Item No,Order ID,Part Number,Part Description,Supplier Name,Plant,Order Amount,Date
27,20200604A001,2596606,150,AUN,Metal,150,04/06/2020
27,20200605A001,2596606,150,AUN,Metal,150,05/06/2020
27,20200608A001,2596606,600,AUN,Metal,600,08/06/2020
27,20200609A001,2596606,450,AUN,Metal,450,09/06/2020
27,20200610A001,2596606,300,AUN,Metal,300,10/06/2020
27,20200611A001,2596606,300,AUN,Metal,300,11/06/2020
27,20200612A001,2596606,300,AUN,Metal,300,12/06/2020
27,20200615A001,2596606,300,AUN,Metal,300,15/06/2020
27,20200616A001,2596606,300,AUN,Metal,300,16/06/2020
27,20200617A001,2596606,150,AUN,Metal,150,17/06/2020
27,20200618A001,2596606,300,AUN,Metal,300,18/06/2020
27,20200619A001,2596606,300,AUN,Metal,300,19/06/2020
28,20200615A001,2689629,75,AUN,Metal,75,15/06/2020
29,20200602A001,2690368,150,AUN,Metal,150,02/06/2020
29,20200604A001,2690368,150,AUN,Metal,150,04/06/2020
29,20200608A001,2690368,150,AUN,Metal,150,08/06/2020
29,20200609A001,2690368,150,AUN,Metal,150,09/06/2020
29,20200610A001,2690368,150,AUN,Metal,150,10/06/2020
29,20200612A001,2690368,150,AUN,Metal,150,12/06/2020
29,20200615A001,2690368,150,AUN,Metal,150,15/06/2020
30,20200601A001,1950493,450,AUN,Metal,450,01/06/2020
30,20200602A001,1950493,450,AUN,Metal,450,02/06/2020
30,20200604A001,1950493,450,AUN,Metal,450,04/06/2020
30,20200605A001,1950493,450,AUN,Metal,450,05/06/2020
30,20200608A001,1950493,450,AUN,Metal,450,08/06/2020
30,20200609A001,1950493,450,AUN,Metal,450,09/06/2020
30,20200610A001,1950493,450,AUN,Metal,450,10/06/2020
30,20200615A001,1950493,450,AUN,Metal,450,15/06/2020
30,20200616A001,1950493,450,AUN,Metal,450,16/06/2020
30,20200618A001,1950493,450,AUN,Metal,450,18/06/2020
31,20200601A001,2622035,100,AUN,Metal,100,01/06/2020
31,20200602A001,2622035,100,AUN,Metal,100,02/06/2020
31,20200604A001,2622035,200,AUN,Metal,200,04/06/2020
31,20200605A001,2622035,100,AUN,Metal,100,05/06/2020
31,20200608A001,2622035,100,AUN,Metal,100,08/06/2020
31,20200609A001,2622035,100,AUN,Metal,100,09/06/2020
31,20200610A001,2622035,100,AUN,Metal,100,10/06/2020
31,20200611A001,2622035,100,AUN,Metal,100,11/06/2020
31,20200615A001,2622035,100,AUN,Metal,100,15/06/2020
31,20200616A001,2622035,100,AUN,Metal,100,16/06/2020
31,20200617A001,2622035,100,AUN,Metal,100,17/06/2020
31,20200618A001,2622035,100,AUN,Metal,100,18/06/2020
32,20200601A001,2622036,100,AUN,Metal,100,01/06/2020
32,20200602A001,2622036,100,AUN,Metal,100,02/06/2020
32,20200604A001,2622036,200,AUN,Metal,200,04/06/2020
32,20200605A001,2622036,100,AUN,Metal,100,05/06/2020
32,20200608A001,2622036,100,AUN,Metal,100,08/06/2020
32,20200609A001,2622036,100,AUN,Metal,100,09/06/2020
32,20200610A001,2622036,100,AUN,Metal,100,10/06/2020
32,20200611A001,2622036,100,AUN,Metal,100,11/06/2020
32,20200615A001,2622036,100,AUN,Metal,100,15/06/2020
32,20200616A001,2622036,100,AUN,Metal,100,16/06/2020
32,20200617A001,2622036,100,AUN,Metal,100,17/06/2020
32,20200618A001,2622036,100,AUN,Metal,100,18/06/2020
33,20200602A001,2626650,100,AUN,Metal,100,02/06/2020
33,20200604A001,2626650,100,AUN,Metal,100,04/06/2020
33,20200608A001,2626650,100,AUN,Metal,100,08/06/2020
33,20200609A001,2626650,100,AUN,Metal,100,09/06/2020
33,20200610A001,2626650,100,AUN,Metal,100,10/06/2020
33,20200611A001,2626650,100,AUN,Metal,100,11/06/2020
33,20200612A001,2626650,100,AUN,Metal,100,12/06/2020
33,20200615A001,2626650,100,AUN,Metal,100,15/06/2020
33,20200616A001,2626650,100,AUN,Metal,100,16/06/2020
37,20200602A001,2554130,100,AUN,Metal,100,02/06/2020
40,20200602A001,2626467,100,AUN,Metal,100,02/06/2020
40,20200604A001,2626467,100,AUN,Metal,100,04/06/2020
40,20200608A001,2626467,100,AUN,Metal,100,08/06/2020
40,20200609A001,2626467,100,AUN,Metal,100,09/06/2020
40,20200610A001,2626467,100,AUN,Metal,100,10/06/2020
40,20200611A001,2626467,100,AUN,Metal,100,11/06/2020
40,20200612A001,2626467,100,AUN,Metal,100,12/06/2020
40,20200615A001,2626467,100,AUN,Metal,100,15/06/2020
40,20200616A001,2626467,100,AUN,Metal,100,16/06/2020
41,20200602A001,2626523,100,AUN,Metal,100,02/06/2020
41,20200604A001,2626523,100,AUN,Metal,100,04/06/2020
41,20200608A001,2626523,100,AUN,Metal,100,08/06/2020
41,20200609A001,2626523,100,AUN,Metal,100,09/06/2020
41,20200610A001,2626523,100,AUN,Metal,100,10/06/2020
41,20200611A001,2626523,100,AUN,Metal,100,11/06/2020
41,20200612A001,2626523,100,AUN,Metal,100,12/06/2020
41,20200615A001,2626523,100,AUN,Metal,100,15/06/2020
41,20200616A001,2626523,100,AUN,Metal,100,16/06/2020
42,20200602A001,2526287,100,AUN,Metal,100,02/06/2020
42,20200604A001,2526287,100,AUN,Metal,100,04/06/2020
42,20200608A001,2526287,100,AUN,Metal,100,08/06/2020
42,20200609A001,2526287,100,AUN,Metal,100,09/06/2020
42,20200610A001,2526287,100,AUN,Metal,100,10/06/2020
42,20200611A001,2526287,50,AUN,Metal,50,11/06/2020
42,20200612A001,2526287,50,AUN,Metal,50,12/06/2020
42,20200615A001,2526287,100,AUN,Metal,100,15/06/2020
42,20200616A001,2526287,100,AUN,Metal,100,16/06/2020
42,20200617A001,2526287,100,AUN,Metal,100,17/06/2020
43,20200602A001,2526503,100,AUN,Metal,100,02/06/2020
43,20200604A001,2526503,50,AUN,Metal,50,04/06/2020
43,20200608A001,2526503,100,AUN,Metal,100,08/06/2020
43,20200609A001,2526503,100,AUN,Metal,100,09/06/2020
43,20200610A001,2526503,100,AUN,Metal,100,10/06/2020
43,20200611A001,2526503,100,AUN,Metal,100,11/06/2020
43,20200612A001,2526503,100,AUN,Metal,100,12/06/2020
43,20200615A001,2526503,100,AUN,Metal,100,15/06/2020
43,20200616A001,2526503,100,AUN,Metal,100,16/06/2020
44,20200602A001,2526225,100,AUN,Metal,100,02/06/2020
44,20200604A001,2526225,100,AUN,Metal,100,04/06/2020
44,20200608A001,2526225,100,AUN,Metal,100,08/06/2020
44,20200609A001,2526225,100,AUN,Metal,100,09/06/2020
44,20200610A001,2526225,100,AUN,Metal,100,10/06/2020
44,20200611A001,2526225,100,AUN,Metal,100,11/06/2020
44,20200612A001,2526225,100,AUN,Metal,100,12/06/2020
44,20200615A001,2526225,100,AUN,Metal,100,15/06/2020
44,20200616A001,2526225,100,AUN,Metal,100,16/06/2020
45,20200604A001,2888617,200,AUN,Metal,200,04/06/2020
45,20200608A001,2888617,200,AUN,Metal,200,08/06/2020
45,20200611A001,2888617,200,AUN,Metal,200,11/06/2020
45,20200615A001,2888617,200,AUN,Metal,200,15/06/2020
45,20200616A001,2888617,200,AUN,Metal,200,16/06/2020
46,20200602A001,2526378,100,AUN,Metal,100,02/06/2020
46,20200604A001,2526378,50,AUN,Metal,50,04/06/2020
46,20200608A001,2526378,100,AUN,Metal,100,08/06/2020
46,20200609A001,2526378,100,AUN,Metal,100,09/06/2020
46,20200610A001,2526378,100,AUN,Metal,100,10/06/2020
46,20200611A001,2526378,100,AUN,Metal,100,11/06/2020
46,20200612A001,2526378,100,AUN,Metal,100,12/06/2020
46,20200615A001,2526378,100,AUN,Metal,100,15/06/2020
46,20200616A001,2526378,100,AUN,Metal,100,16/06/2020
47,20200602A001,2526402,100,AUN,Metal,100,02/06/2020
47,20200604A001,2526402,50,AUN,Metal,50,04/06/2020
47,20200608A001,2526402,100,AUN,Metal,100,08/06/2020
47,20200609A001,2526402,100,AUN,Metal,100,09/06/2020
47,20200610A001,2526402,100,AUN,Metal,100,10/06/2020
47,20200611A001,2526402,100,AUN,Metal,100,11/06/2020
47,20200612A001,2526402,100,AUN,Metal,100,12/06/2020
47,20200615A001,2526402,100,AUN,Metal,100,15/06/2020
47,20200616A001,2526402,100,AUN,Metal,100,16/06/2020
48,20200602A001,2626650,100,AUN,Metal,100,02/06/2020
48,20200604A001,2626650,100,AUN,Metal,100,04/06/2020
48,20200608A001,2626650,100,AUN,Metal,100,08/06/2020
48,20200609A001,2626650,100,AUN,Metal,100,09/06/2020
48,20200610A001,2626650,100,AUN,Metal,100,10/06/2020
48,20200611A001,2626650,100,AUN,Metal,100,11/06/2020
48,20200612A001,2626650,100,AUN,Metal,100,12/06/2020
48,20200615A001,2626650,100,AUN,Metal,100,15/06/2020
48,20200616A001,2626650,100,AUN,Metal,100,16/06/2020
49,20200604A001,2888990,200,AUN,Metal,200,04/06/2020
49,20200609A001,2888990,200,AUN,Metal,200,09/06/2020
49,20200611A001,2888990,200,AUN,Metal,200,11/06/2020
49,20200615A001,2888990,200,AUN,Metal,200,15/06/2020
50,20200604A001,2924787,300,AUN,Metal,300,04/06/2020
50,20200608A001,2924787,300,AUN,Metal,300,08/06/2020
50,20200610A001,2924787,300,AUN,Metal,300,10/06/2020
50,20200611A001,2924787,300,AUN,Metal,300,11/06/2020
50,20200612A001,2924787,300,AUN,Metal,300,12/06/2020
